num_lot,mode_saisie,depouillement,annee_depouillement,saisie_profession,saisie_role,degre_validation
1,indirecte,pretu,,,roope,
2,indirecte,pretu,,,roope,
3,indirecte,pretu,,,roope,acval
4,indirecte,pretu,,,roope,
5,directe,pretu,,pretu,,acval
6,indirecte,pretu,,,roope,
7,directe,pretu,,pretu,,acval
8,directe,pretu,2018,pretu,,acval
9,indirecte,pretu,,,roope,
10,indirecte,pretu,,,roope,acrel
11,indirecte,pretu,,,roope,acrel
12,directe,pretu,2019,pretu,,acval
13,directe,prben,2019,prben,,acval
14,directe,prark,2021,prark,,acval
15,directe,pretu,2024,pretu,,acval
16,indirecte,pretu,,,roope,acrel
17,indirecte,pretu,,,roope,acrel
18,indirecte,pretu,,,roope,
19,indirecte,pretu,,,roope,acrel
20,indirecte,pretu,,,roope,
21,indirecte,pretu,,,roope,
22,indirecte,pretu,,,roope,acrel
23,indirecte,pretu,,,roope,
24,indirecte,pretu,,,roope,acrel
25,indirecte,pretu,,,roope,
26,indirecte,pretu,,,roope,
27,indirecte,pretu,2020,,roope,acval
28,directe,pretu,2024,pretu,,acval
29,indirecte,pretu,,,roope,
30,indirecte,pretu,,,roope,acrel
31,indirecte,pretu,2007,,roope,acval
32,indirecte,pretu,2007,,roope,acval
33,indirecte,prche,2007,,roope,acval
34,indirecte,prche,2007,,roope,acval
35,indirecte,prche,2008,,roope,acval
36,indirecte,prche,2008,,roope,acval
37,indirecte,prche,2008,,roope,acval
38,indirecte,pretu,2008,,roope,acrel
39,indirecte,pretu,2008,,roope,acrel
40,indirecte,pretu,2008,,roope,acrel
41,indirecte,prche,2008,,roope,acval
42,indirecte,prche,2009,,roope,acval
43,indirecte,prche,2009,,roope,acval
44,indirecte,pretu,2009,,roope,acrel
45,directe,pretu,2017,pretu,,acval
46,indirecte,pretu,2019,pretu,,acrel
47,indirecte,pretu,,,roope,acrel
48,indirecte,pretu,,,roope,acrel
49,indirecte,pretu,,,roope,acrel
50,indirecte,pretu,2019,,roope,acrel
51,indirecte,pretu,,,roope,
52,directe,pretu,2019,pretu,,acval
53,directe,prark,2021,prark,,acval
54,directe,prark,2021,prark,,acval
55,directe,prark,2022,prark,,acval
56,indirecte,pretu,,,roope,acrel
57,directe,prark,2023,prark,,acval
58,directe,prark,2021,prark,,acval
59,directe,pretu,2024,pretu,,acval
60,directe,pretu,2024,pretu,,acval
61,indirecte,pretu,,,roope,acrel
62,indirecte,pretu,,,roope,acrel
63,indirecte,pretu,,,roope,
64,indirecte,pretu,entre 2008 et 2014,,roope,acval
65,indirecte,pretu,,,roope,
66,indirecte,pretu,,,roope,
67,directe,pretu,2024,pretu,,acval
68,indirecte,pretu,,,roope,acval
69,indirecte,pretu,,,roope,acval
70,indirecte,pretu,,,roope,acval
71,indirecte,pretu,,,roope,acval
72,indirecte,pretu,,,roope,acval
73,indirecte,pretu,,,roope,acrel
74,indirecte,pretu,,,roope,
75,indirecte,pretu,,,roope,acrel
76,indirecte,pretu,,,roope,
77,indirecte,pretu,,,roope,acrel
78,directe,pretu,2024,pretu,,acval
79,indirecte,pretu,,,roope
